City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Current Description
78,Saint George,US,37.1041,-113.5841,71.44,1,31,1.01,clear sky
79,Severo-Kurilsk,RU,50.6789,156.125,47.84,100,94,27.76,moderate rain
80,Ribeira Grande,PT,38.5167,-28.7,73.8,40,88,16.11,scattered clouds
81,Cervo,ES,43.6702,-7.4101,62.96,6,85,18.5,clear sky
82,Isangel,VU,-19.55,169.2667,75.31,4,73,9.22,clear sky
83,Tiksi,RU,71.6872,128.8694,29.01,100,98,6.44,light snow
84,Saint-Philippe,RE,-21.3585,55.7679,71.15,8,88,6.8,clear sky
85,Alyangula,AU,-13.8483,136.4192,69.67,100,94,0.0,overcast clouds
86,Chandla,IN,25.0833,80.2,76.01,2,56,4.27,clear sky
87,Aklavik,CA,68.2191,-135.0107,30.92,100,78,9.31,overcast clouds
88,Butaritari,KI,3.0707,172.7902,81.27,49,69,10.71,scattered clouds
89,Luanda,AO,-8.8368,13.2343,75.2,40,78,9.22,scattered clouds
90,Turinsk,RU,58.0458,63.696,27.37,15,66,1.68,few clouds
91,Matamoros,MX,25.5333,-103.25,96.91,1,21,2.3,clear sky
92,Byron Bay,AU,-28.65,153.6167,70.05,40,76,11.72,scattered clouds
93,Virginia Beach,US,36.8529,-75.978,79.02,90,78,4.0,overcast clouds
94,Chongqing,CN,29.5628,106.5528,61.09,90,99,4.47,light rain
95,Nome,US,64.5011,-165.4064,35.17,75,80,3.44,broken clouds
96,Northam,GB,51.0333,-4.2167,56.3,11,84,11.83,few clouds
97,Anqing,CN,30.5092,117.0506,58.44,100,82,15.79,overcast clouds
98,Coahuayana,MX,18.7333,-103.6833,94.48,100,69,4.83,overcast clouds
99,Bandarbeyla,SO,9.4942,50.8122,78.69,87,88,20.13,overcast clouds
100,Albany,US,42.6001,-73.9662,66.63,95,78,6.55,overcast clouds
101,Poso,ID,-1.3959,120.7524,78.06,100,77,2.48,overcast clouds
102,Lichuan,CN,30.3,108.85,54.05,100,97,2.71,overcast clouds
103,Havoysund,NO,70.9963,24.6622,45.48,100,87,7.72,overcast clouds
104,Mondovi,IT,44.396,7.8176,58.78,0,96,3.56,clear sky
105,Bredasdorp,ZA,-34.5322,20.0403,62.28,70,88,1.14,broken clouds
