City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hailar,CN,2021-10-10 00:10:51,49.2,119.7,38.43,74,100,21.97
68,Newala,TZ,2021-10-10 00:10:52,-10.9431,39.2787,66.16,82,30,7.61
69,Idil,TR,2021-10-10 00:10:52,37.3411,41.8895,64.67,17,5,5.97
70,Ayan,RU,2021-10-10 00:10:53,56.45,138.1667,43.54,54,58,6.51
71,Tsumeb,NA,2021-10-10 00:10:53,-19.2333,17.7167,77.5,7,2,19.73
72,Qaanaaq,GL,2021-10-10 00:07:35,77.484,-69.3632,28.42,74,100,13.89
73,Livingston,GB,2021-10-10 00:09:11,55.9029,-3.5226,51.85,91,20,8.05
74,Ilulissat,GL,2021-10-10 00:10:54,69.2167,-51.1,30.22,74,75,11.5
75,Mercedes,AR,2021-10-10 00:10:54,-34.6515,-59.4307,60.85,76,2,8.99
76,Apiai,BR,2021-10-10 00:10:54,-24.5094,-48.8425,55.24,100,100,3.29
77,Leningradskiy,RU,2021-10-10 00:10:55,69.3833,178.4167,20.26,94,100,4.25
78,Kavaratti,IN,2021-10-10 00:10:55,10.5669,72.642,82.02,79,79,11.32
79,Shalinskoye,RU,2021-10-10 00:10:56,55.7228,93.7594,40.1,90,100,11.65
80,Nikolskoye,RU,2021-10-10 00:10:56,59.7035,30.7861,50.4,83,99,5.26
81,Yamoussoukro,CI,2021-10-10 00:10:56,6.8206,-5.2767,76.86,94,24,3.31
82,Formosa,AR,2021-10-10 00:10:38,-26.1775,-58.1781,69.78,88,90,9.22
83,Mocuba,MZ,2021-10-10 00:10:57,-16.8392,36.9856,67.17,82,0,2.75
84,Krasnoselkup,RU,2021-10-10 00:10:57,65.7,82.4667,25.93,77,87,13.85
85,Libenge,CD,2021-10-10 00:07:11,3.65,18.6333,72.75,97,100,0.81
86,Port-Cartier,CA,2021-10-10 00:10:58,50.0334,-66.8654,41.76,74,61,0.72
87,Mar Del Plata,AR,2021-10-10 00:09:11,-38.0023,-57.5575,54.12,58,0,1.99
88,Arraial Do Cabo,BR,2021-10-10 00:07:39,-22.9661,-42.0278,67.41,80,100,18.21
89,Flinders,AU,2021-10-10 00:09:09,-34.5833,150.8552,73.8,76,83,5.99
90,Bethel,US,2021-10-10 00:07:40,41.3712,-73.414,62.58,84,75,1.99
91,Tiksi,RU,2021-10-10 00:07:52,71.6872,128.8694,17.49,91,83,2.42
92,Trairi,BR,2021-10-10 00:06:41,-3.2778,-39.2689,79.66,80,62,13.73
93,Bourges,FR,2021-10-10 00:11:00,47.25,2.4167,45.99,79,0,4.36
94,Chuy,UY,2021-10-10 00:11:00,-33.6971,-53.4616,55.85,85,10,8.66
95,Upernavik,GL,2021-10-10 00:08:36,72.7868,-56.1549,33.39,68,99,19.19
96,Yellowknife,CA,2021-10-10 00:11:01,62.456,-114.3525,42.42,100,90,3.44
97,Porto Novo,BJ,2021-10-10 00:11:01,6.4965,2.6036,78.46,88,100,6.15
98,Muros,ES,2021-10-10 00:11:01,42.7762,-9.0603,65.23,68,36,14.63
99,Chokurdakh,RU,2021-10-10 00:06:08,70.6333,147.9167,7.68,96,95,5.35
100,Pangai,TO,2021-10-10 00:11:02,-19.8,-174.35,76.84,77,76,11.48
101,Saldanha,ZA,2021-10-10 00:11:02,-33.0117,17.9442,56.43,79,23,10.6
102,Oksfjord,NO,2021-10-10 00:11:03,70.2396,22.3479,42.87,88,100,7.54
103,Katsuura,JP,2021-10-10 00:11:03,35.1333,140.3,69.91,80,49,3.91
104,Oranjemund,NA,2021-10-10 00:11:04,-28.55,16.4333,57.83,82,5,7.49
105,Klaksvik,FO,2021-10-10 00:06:13,62.2266,-6.589,50.92,86,54,23.42
106,Bani,DO,2021-10-10 00:11:05,18.2833,-70.3333,83.86,80,3,5.59
107,Souillac,MU,2021-10-10 00:11:05,-20.5167,57.5167,72.36,78,34,15.21
108,Amapa,BR,2021-10-10 00:11:05,1.0,-52.0,71.94,95,100,4.21
109,Provideniya,RU,2021-10-10 00:11:06,64.3833,-173.3,32.47,72,26,4.21
110,Boende,CD,2021-10-10 00:11:06,-0.2167,20.8667,72.97,91,68,0.63
111,Evensk,RU,2021-10-10 00:11:07,61.95,159.2333,29.3,56,20,4.25
112,Dunedin,NZ,2021-10-10 00:11:07,-45.8742,170.5036,58.8,68,2,10.0
113,Smithers,CA,2021-10-10 00:11:07,54.7804,-127.1743,45.37,79,76,6.55
114,Necochea,AR,2021-10-10 00:11:08,-38.5473,-58.7368,53.04,76,0,10.94
115,East London,ZA,2021-10-10 00:11:08,-33.0153,27.9116,60.39,69,12,17.83
116,Hasaki,JP,2021-10-10 00:11:09,35.7333,140.8333,70.29,78,28,5.17
117,Severo-Kurilsk,RU,2021-10-10 00:11:09,50.6789,156.125,47.12,72,24,12.12
118,Ponta Do Sol,PT,2021-10-10 00:11:09,32.6667,-17.1,72.23,77,19,4.52
119,Ambilobe,MG,2021-10-10 00:11:10,-13.2,49.05,69.37,72,21,3.8
120,Champerico,GT,2021-10-10 00:11:10,14.3,-91.9167,85.35,81,100,8.01
121,Vysokogornyy,RU,2021-10-10 00:11:11,50.1167,139.15,40.44,92,100,2.68
122,Port Elizabeth,ZA,2021-10-10 00:07:37,-33.918,25.5701,57.09,77,16,11.21
123,Artemisa,CU,2021-10-10 00:11:11,22.814,-82.7561,80.78,81,41,4.29
124,Gulabpura,IN,2021-10-10 00:11:12,25.9,74.6667,76.62,60,0,5.68
125,Nadym,RU,2021-10-10 00:11:12,65.5333,72.5167,27.9,83,15,14.97
126,Vangaindrano,MG,2021-10-10 00:11:12,-23.35,47.6,64.44,86,29,5.01
127,Mahajanga,MG,2021-10-10 00:11:13,-15.7167,46.3167,71.62,64,20,5.75
128,Akodia,IN,2021-10-10 00:11:13,23.3833,76.6,72.28,74,52,4.21
129,Kodiak,US,2021-10-10 00:11:13,57.79,-152.4072,53.11,43,20,19.57
130,Bubaque,GW,2021-10-10 00:11:14,11.2833,-15.8333,82.47,76,66,9.44
131,Tuktoyaktuk,CA,2021-10-10 00:11:14,69.4541,-133.0374,31.91,74,91,5.01
132,Aldan,RU,2021-10-10 00:11:14,58.6031,125.3894,30.81,78,24,7.47
133,Santa Isabel Do Rio Negro,BR,2021-10-10 00:11:15,-0.4139,-65.0192,78.67,82,99,2.33
134,Nome,US,2021-10-10 00:11:15,64.5011,-165.4064,44.17,65,1,8.05
135,Saint-Pierre,RE,2021-10-10 00:11:16,-21.3393,55.4781,71.28,72,90,3.44
136,Macae,BR,2021-10-10 00:11:16,-22.3708,-41.7869,65.57,87,100,7.0
137,Corn Island,NI,2021-10-10 00:11:17,12.1694,-83.0418,82.8,75,49,9.69
138,Mount Gambier,AU,2021-10-10 00:11:17,-37.8333,140.7667,53.58,62,38,9.13
139,Chabahar,IR,2021-10-10 00:11:17,25.2919,60.643,81.86,71,0,3.96
140,Raga,SS,2021-10-10 00:11:18,8.4596,25.678,72.97,74,86,3.29
141,Alekseyevka,RU,2021-10-10 00:11:18,50.6309,38.6903,42.17,55,100,6.76
142,Aripuana,BR,2021-10-10 00:11:19,-9.1667,-60.6333,83.52,56,98,2.28
143,Santa Cruz,BO,2021-10-10 00:11:19,-17.8,-63.1667,78.26,83,75,10.36
144,Sillod,IN,2021-10-10 00:11:20,20.3,75.65,72.52,83,39,5.37
145,Baker City,US,2021-10-10 00:07:12,44.7749,-117.8344,59.59,38,1,0.0
146,Hithadhoo,MV,2021-10-10 00:11:20,-0.6,73.0833,82.56,69,99,10.13
147,Port Keats,AU,2021-10-10 00:11:20,-14.25,129.55,87.31,57,23,8.72
148,Khatanga,RU,2021-10-10 00:11:21,71.9667,102.5,16.32,97,100,0.25
149,Cabo San Lucas,MX,2021-10-10 00:11:21,22.8909,-109.9124,93.51,59,1,1.99
150,Luderitz,NA,2021-10-10 00:11:22,-26.6481,15.1594,63.45,53,84,13.98
151,Inhambane,MZ,2021-10-10 00:11:22,-23.865,35.3833,70.48,82,0,6.13
152,Okha,RU,2021-10-10 00:11:23,53.5739,142.9478,45.48,89,100,13.87
153,Whitehorse,CA,2021-10-10 00:11:23,60.7161,-135.0538,46.31,39,99,18.01
154,Santa Maria,BR,2021-10-10 00:11:24,-29.6842,-53.8069,61.7,93,100,9.6
155,Vestmannaeyjar,IS,2021-10-10 00:11:24,63.4427,-20.2734,45.97,84,98,9.8
156,Nishihara,JP,2021-10-10 00:11:24,26.1842,127.7558,83.48,87,75,18.41
157,Guerrero Negro,MX,2021-10-10 00:11:25,27.9769,-114.0611,72.75,54,2,23.29
158,Seminole,US,2021-10-10 00:11:25,28.7086,-81.2081,80.87,84,1,1.01
159,Ribeira Grande,PT,2021-10-10 00:11:25,38.5167,-28.7,71.31,81,76,21.43
160,Zhigansk,RU,2021-10-10 00:08:45,66.7697,123.3711,32.74,99,100,19.69
161,Kloulklubed,PW,2021-10-10 00:11:26,7.0419,134.2556,83.44,79,89,20.4
162,Vao,NC,2021-10-10 00:11:26,-22.6667,167.4833,70.03,62,50,15.19
163,Merritt,CA,2021-10-10 00:11:26,50.1123,-120.7942,50.45,87,100,6.87
164,Walvis Bay,NA,2021-10-10 00:11:26,-22.9575,14.5053,55.09,79,0,5.1
165,Colombo,LK,2021-10-10 00:11:27,6.9319,79.8478,79.12,87,100,10.02
166,Geraldton,AU,2021-10-10 00:11:27,-28.7667,114.6,59.41,51,0,5.75
167,Cavalcante,BR,2021-10-10 00:11:27,-13.7975,-47.4583,83.62,35,87,1.01
168,Sandwick,GB,2021-10-10 00:11:27,60.0,-1.25,51.62,93,75,12.66
169,Torbay,CA,2021-10-10 00:11:28,47.6666,-52.7314,44.58,85,90,23.02
170,Turukhansk,RU,2021-10-10 00:09:45,65.8167,87.9833,24.12,73,100,16.67
171,Amahai,ID,2021-10-10 00:11:28,-3.3333,128.9167,82.13,78,83,1.36
172,Lock Haven,US,2021-10-10 00:11:28,41.137,-77.4469,64.98,91,100,5.03
173,Touros,BR,2021-10-10 00:11:29,-5.1989,-35.4608,78.75,77,73,15.75
174,Alugan,PH,2021-10-10 00:11:29,12.2188,125.4808,82.38,75,100,17.36
175,Gornopravdinsk,RU,2021-10-10 00:11:30,60.05,69.9,29.95,87,62,6.46
176,Oistins,BB,2021-10-10 00:11:30,13.0667,-59.5333,81.75,76,92,15.64
177,Mahebourg,MU,2021-10-10 00:11:31,-20.4081,57.7,72.25,76,11,16.28
178,Pontes E Lacerda,BR,2021-10-10 00:11:31,-15.2261,-59.3353,84.42,50,80,1.97
179,Choma,ZM,2021-10-10 00:11:31,-16.8065,26.9531,73.56,31,0,1.63
180,Norman Wells,CA,2021-10-10 00:07:34,65.282,-126.8329,32.04,93,75,10.36
181,Barreirinha,BR,2021-10-10 00:11:32,-2.7933,-57.07,83.71,59,94,1.54
182,Oussouye,SN,2021-10-10 00:11:32,12.485,-16.5469,79.77,83,78,4.68
183,Castro,BR,2021-10-10 00:11:33,-24.7911,-50.0119,56.37,99,100,4.38
184,Wajir,KE,2021-10-10 00:11:33,1.7471,40.0573,76.28,66,29,14.63
185,Lazaro Cardenas,MX,2021-10-10 00:08:34,17.9583,-102.2,83.28,79,68,5.44
186,Georgetown,MY,2021-10-10 00:07:44,5.4112,100.3354,79.9,89,20,0.0
187,Goderich,CA,2021-10-10 00:11:34,43.7501,-81.7165,65.21,93,14,11.65
